레슨,일차,영단어,뜻,예문
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Baker,제빵사,The baker makes fresh bread every morning.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Coach,"코치, 감독",Our soccer coach is very strict.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Guide,"가이드, 안내원",The tour guide explained the history.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Qualification,"자격, 자격증",You need a qualification for this job.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Interview,"면접, 인터뷰",I have a job interview tomorrow.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Employment,"고용, 취업",The city provides many employment opportunities.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Scientist,과학자,The scientist is doing an experiment.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Engineer,"엔지니어, 기술자",My brother works as a software engineer.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Design,"디자인하다, 설계하다",She wants to design her own clothes.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Build,"짓다, 만들다",They builded a new bridge.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Create,"창조하다, 만들다",Artists create beautiful things.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Solve,해결하다,We need to solve this problem together.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Invent,발명하다,Thomas Edison invented the light bulb.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Innovation,혁신,This product is a great innovation.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Laboratory,실험실,They are working in the laboratory.
11. 직업과 전문성 (Jobs & Professionalism),Day 3,Technique,"기술, 기법",He has a special painting technique.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Manager,"관리자, 매니저",The hotel manager was very helpful.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Clerk,"사무원, 점원",The bank clerk checked my account.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Office worker,사무직원,Most office workers work from 9 to 6.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Customer,고객,The customer is always right.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Boss,"상사, 사장",My boss is very kind and fair.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Meeting,회의,We have a weekly meeting on Monday.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Task,"업무, 과업",My first task is to reply to emails.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Responsibility,"책임, 의무",It is my responsibility to clean the room.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Leadership,"리더십, 지도력",He showed great leadership during the game.
11. 직업과 전문성 (Jobs & Professionalism),Day 4,Cooperation,"협력, 협동",Cooperation is important for team projects.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Dream,"꿈꾸다, 꿈",I dream of becoming a space traveler.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Goal,목표,My goal is to be an expert in my field.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Success,성공,Hard work is the key to success.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Failure,실패,Don't be afraid of failure.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Effort,노력,She put a lot of effort into her work.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Result,결과,We are waiting for the test results.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Chance,기회,This is a great chance for you.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Achievement,"성취, 업적",This is the biggest achievement of my life.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Passion,열정,You need passion for what you do.
11. 직업과 전문성 (Jobs & Professionalism),Day 5,Contribution,"기여, 공헌",He made a big contribution to the team.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,apply for,~에 지원하다,He decided to apply for the job.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,be in charge of,~을 담당하다,She is in charge of the new project.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,work as,~로 일하다,I want to work as a designer.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,deal with,"~을 다루다, 처리하다",Teachers have to deal with many problems.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,fill out,(서류를) 작성하다,Please fill out this application form.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,carry out,수행하다,They carried out the task successfully.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,take over,"인계받다, 떠맡다",He will take over the business soon.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,on duty,근무 중인,Which doctor is on duty tonight?
11. 직업과 전문성 (Jobs & Professionalism),Day 6,run a business,사업을 운영하다,My uncle runs a small business.
11. 직업과 전문성 (Jobs & Professionalism),Day 6,get a job,직업을 구하다,It is not easy to get a job these days.
12. 성격과 태도 (Personality & Attitude),Day 1,Active,활동적인,He is an active member of the club.
12. 성격과 태도 (Personality & Attitude),Day 1,Honest,정직한,An honest person does not tell lies.
12. 성격과 태도 (Personality & Attitude),Day 1,Smart,똑똑한,She is smart enough to solve the puzzle.
12. 성격과 태도 (Personality & Attitude),Day 1,Careful,조심스러운,Be careful not to break the glass.
12. 성격과 태도 (Personality & Attitude),Day 1,Polite,"공손한, 예의 바른","It is polite to say ""Thank you."""
12. 성격과 태도 (Personality & Attitude),Day 1,Brave,용감한,The brave boy saved the puppy.
12. 성격과 태도 (Personality & Attitude),Day 1,Calm,차분한,Keep calm even in a difficult situation.
12. 성격과 태도 (Personality & Attitude),Day 1,Personality,"성격, 개성",Everyone has a different personality.
12. 성격과 태도 (Personality & Attitude),Day 1,Attitude,"태도, 사고방식",A positive attitude is key to success.
12. 성격과 태도 (Personality & Attitude),Day 1,Confidence,자신감,She spoke with great confidence.
12. 성격과 태도 (Personality & Attitude),Day 2,Kind,친절한,It was kind of you to help me.
12. 성격과 태도 (Personality & Attitude),Day 2,Wise,지혜로운,Following his advice was a wise choice.
12. 성격과 태도 (Personality & Attitude),Day 2,Lazy,게으른,Get up! Don't be so lazy.
12. 성격과 태도 (Personality & Attitude),Day 2,Weak,약한,I felt weak because I had a cold.
12. 성격과 태도 (Personality & Attitude),Day 2,Strong,강한,He is strong enough to lift this box.
12. 성격과 태도 (Personality & Attitude),Day 2,Serious,진지한,Stop joking; I am being serious.
12. 성격과 태도 (Personality & Attitude),Day 2,Simple,단순한,The answer to the question is simple.
12. 성격과 태도 (Personality & Attitude),Day 2,Character,"성격, 인격, 특징",Reading books helps build your character.
12. 성격과 태도 (Personality & Attitude),Day 2,Integrity,"진실성, 정직",He is a man of high integrity.
12. 성격과 태도 (Personality & Attitude),Day 2,Modest,겸손한,He is very modest about his success.
12. 성격과 태도 (Personality & Attitude),Day 3,Proud,자랑스러운,My parents are proud of my grades.
12. 성격과 태도 (Personality & Attitude),Day 3,Selfish,이기적인,Don't be selfish; share your toys.
12. 성격과 태도 (Personality & Attitude),Day 3,Gentle,"부드러운, 온화한",He has a gentle voice.
12. 성격과 태도 (Personality & Attitude),Day 3,Patient,인내심 있는,You must be patient with young kids.
12. 성격과 태도 (Personality & Attitude),Day 3,Sharp,"날카로운, 예리한",He is very sharp and notices everything.
12. 성격과 태도 (Personality & Attitude),Day 3,Hard,"단단한, 어려운, 열심히 하는",He is a hard worker.
12. 성격과 태도 (Personality & Attitude),Day 3,Soft,부드러운,She has a soft heart.
12. 성격과 태도 (Personality & Attitude),Day 3,Determination,"결단력, 투지",His determination helped him win.
12. 성격과 태도 (Personality & Attitude),Day 3,Curiosity,호기심,Children have a lot of curiosity.
12. 성격과 태도 (Personality & Attitude),Day 3,Discipline,"훈련, 규율, 자제력",Yoga requires mental discipline.
12. 성격과 태도 (Personality & Attitude),Day 4,Generous,"너그러운, 관대한",He is generous with his time and money.
12. 성격과 태도 (Personality & Attitude),Day 4,Creative,창의적인,We need some creative ideas for the poster.
12. 성격과 태도 (Personality & Attitude),Day 4,Positive,긍정적인,Try to stay positive in hard times.
12. 성격과 태도 (Personality & Attitude),Day 4,Negative,부정적인,Don't have a negative thought.
12. 성격과 태도 (Personality & Attitude),Day 4,Fair,공정한,The teacher is always fair to everyone.
12. 성격과 태도 (Personality & Attitude),Day 4,Strict,엄격한,My parents are strict about safety.
12. 성격과 태도 (Personality & Attitude),Day 4,Friendly,우호적인,The local people are very friendly.
12. 성격과 태도 (Personality & Attitude),Day 4,Perspective,"관점, 시각",We should look at it from a new perspective.
12. 성격과 태도 (Personality & Attitude),Day 4,Empathy,"공감, 감정이입",He showed great empathy for the poor.
12. 성격과 태도 (Personality & Attitude),Day 4,Optimistic,낙관적인,She is optimistic about her future.
12. 성격과 태도 (Personality & Attitude),Day 5,Trust,"신뢰하다, 믿음",It takes time to build trust.
12. 성격과 태도 (Personality & Attitude),Day 5,Respect,"존중하다, 존경",We should respect our elders.
12. 성격과 태도 (Personality & Attitude),Day 5,Responsible,책임감 있는,You are responsible for your own actions.
12. 성격과 태도 (Personality & Attitude),Day 5,Cooperative,협력적인,He is a very cooperative team member.
12. 성격과 태도 (Personality & Attitude),Day 5,Sensitive,"민감한, 세심한",She is very sensitive to other people's feelings.
12. 성격과 태도 (Personality & Attitude),Day 5,Logical,논리적인,Use logical thinking to solve the problem.
12. 성격과 태도 (Personality & Attitude),Day 5,Independent,독립적인,I want to be more independent.
12. 성격과 태도 (Personality & Attitude),Day 5,Ambition,"야망, 포부",Her ambition is to be a leader.
12. 성격과 태도 (Personality & Attitude),Day 5,Motivation,동기 부여,I lost my motivation to study.
12. 성격과 태도 (Personality & Attitude),Day 5,Persistence,"끈기, 고집",Persistence is the secret of success.
12. 성격과 태도 (Personality & Attitude),Day 6,Look up to,~을 존경하다,I look up to my father.
12. 성격과 태도 (Personality & Attitude),Day 6,Show off,"과시하다, 자랑하다",He likes to show off his new car.
12. 성격과 태도 (Personality & Attitude),Day 6,Look down on,"~을 경멸하다, 깔보다",Don't look down on others.
12. 성격과 태도 (Personality & Attitude),Day 6,Bring up,"(아이를) 기르다, 양육하다",She was brought up in a strict family.
12. 성격과 태도 (Personality & Attitude),Day 6,Take after,"~을 닮다 (성격, 외모)",I take after my mother in personality.
12. 성격과 태도 (Personality & Attitude),Day 6,Stand out,"눈에 띄다, 두드러지다",Her talent makes her stand out.
12. 성격과 태도 (Personality & Attitude),Day 6,Calm down,진정하다,Please calm down and listen to me.
12. 성격과 태도 (Personality & Attitude),Day 6,Lose one's temper,"화를 내다, 평정심을 잃다",He rarely loses his temper.
12. 성격과 태도 (Personality & Attitude),Day 6,Get over,"(어려움, 슬픔을) 극복하다",It took time to get over the failure.
12. 성격과 태도 (Personality & Attitude),Day 6,Stick to,(원칙 등을) 고수하다,You should stick to your principles.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Forest,"숲, 삼림",We must protect the tropical rain forest.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Ocean,"대양, 바다",Plastic waste is polluting the ocean.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Valley,계곡,The village is located in a deep valley.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Desert,사막,It rarely rains in the desert.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Island,섬,They are traveling to a volcanic island.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Planet,"행성, 지구",Earth is our only planet.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Nature,"자연, 천성",I love to spend my weekend in nature.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Ecosystem,생태계,Every creature plays a role in the ecosystem.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Biodiversity,생물 다양성,Biodiversity is important for a healthy planet.
13. 자연과 생태계 (Nature & Ecosystem),Day 1,Habitat,서식지,This forest is the natural habitat of bears.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Resource,자원,Water is a precious natural resource.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Energy,에너지,We need to find clean energy sources.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Ground,"땅, 지면",The ground was covered with snow.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Stone,돌,He threw a stone into the lake.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Field,"들판, 분야",The farmers are working in the field.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Wave,"파도, 물결",The waves are very high today.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Wind,바람,A cold wind is blowing from the north.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Conservation,"보호, 보존",Nature conservation is everyone's duty.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Sustainability,지속 가능성,We are focusing on environmental sustainability.
13. 자연과 생태계 (Nature & Ecosystem),Day 2,Atmosphere,"대기, 분위기",The Earth's atmosphere protects us from the sun.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Animal,동물,Tigers are wild animals.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Plant,"식물, 심다",I like to plant flowers in my garden.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Root,뿌리,The roots of this tree go very deep.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Branch,나뭇가지,A bird is sitting on a branch.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Seed,씨앗,We planted sunflower seeds today.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Bird,새,The bird flew away into the sky.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Insect,곤충,Ants are very small insects.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Species,종(생물),There are millions of species on Earth.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Evolution,진화,Scientists study the evolution of humans.
13. 자연과 생태계 (Nature & Ecosystem),Day 3,Extinction,멸종,Many animals are facing extinction.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Sun,태양,The sun rises in the east.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Moon,달,The moon shines brightly at night.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Star,별,I can see many stars tonight.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Rain,비,We had a lot of rain last week.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Snow,눈,I hope we have snow this winter.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Sky,하늘,The sky is clear and blue.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Cloud,구름,There isn't a single cloud in the sky.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Phenomenon,현상,A rainbow is a natural phenomenon.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Disaster,"재난, 재앙",The earthquake was a huge disaster.
13. 자연과 생태계 (Nature & Ecosystem),Day 4,Interaction,상호작용,Scientists study the interaction between plants and insects.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Space,우주,Astronauts travel into outer space.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Earth,"지구, 땅",Protect the Earth for our future.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Rock,바위,I sat on a big rock by the river.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Mountain,산,Mount Everest is the highest mountain.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Sand,모래,The sand on the beach is very soft.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Light,"빛, 가벼운",The morning light woke me up.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Life,"생명, 삶",All life on Earth depends on water.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Adaptation,적응,Animals develop adaptations to survive.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Environment,환경,We need a healthy environment to live.
13. 자연과 생태계 (Nature & Ecosystem),Day 5,Balance,균형,We must keep the balance of nature.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Die out,"멸종되다, 자취를 감추다",Many species are dying out.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Cut down on,(양을) 줄이다,We must cut down on plastic waste.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Run out of,~이 다 떨어지다,We are running out of natural resources.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Clean up,"청소하다, 정화하다",Volunteers gathered to clean up the beach.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Depend on,~에 의존하다,All living things depend on water.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Result in,~한 결과를 초래하다,Pollution results in climate change.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Give off,"(빛, 냄새 등을) 내뿜다",Flowers give off a sweet scent.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Wipe out,"완전히 파괴하다, 없애다",The storm wiped out the entire forest.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Adapt to,~에 적응하다,Animals adapt to their environment.
13. 자연과 생태계 (Nature & Ecosystem),Day 6,Take care of,"~을 돌보다, 보호하다",We need to take care of our planet.
14. 기술과 정보 (Technology & Information),Day 1,Computer,컴퓨터,I use a computer to do my homework.
14. 기술과 정보 (Technology & Information),Day 1,Internet,인터넷,You can find much information on the internet.
14. 기술과 정보 (Technology & Information),Day 1,Phone,"전화기, 스마트폰",I lost my phone on the bus.
14. 기술과 정보 (Technology & Information),Day 1,Website,웹사이트,Visit our school website for news.
14. 기술과 정보 (Technology & Information),Day 1,Game,게임,He spends too much time playing a video game.
14. 기술과 정보 (Technology & Information),Day 1,Message,메시지,I sent a text message to my mom.
14. 기술과 정보 (Technology & Information),Day 1,Screen,"화면, 스크린",The laptop screen is very bright.
14. 기술과 정보 (Technology & Information),Day 1,Technology,기술,Modern technology changes our lives fast.
14. 기술과 정보 (Technology & Information),Day 1,Digital,디지털의,We live in a digital age.
14. 기술과 정보 (Technology & Information),Day 1,Information,정보,This book provides useful information.
14. 기술과 정보 (Technology & Information),Day 2,Online,온라인의,I enjoy online shopping.
14. 기술과 정보 (Technology & Information),Day 2,Button,"버튼, 단추",Press the red button to start.
14. 기술과 정보 (Technology & Information),Day 2,Video,"비디오, 영상",I watched an interesting video on YouTube.
14. 기술과 정보 (Technology & Information),Day 2,Photo,사진,Can you take a photo of us?
14. 기술과 정보 (Technology & Information),Day 2,File,파일,Don't forget to save the file.
14. 기술과 정보 (Technology & Information),Day 2,Search,"찾다, 검색하다",I need to search for some data.
14. 기술과 정보 (Technology & Information),Day 2,Click,클릭하다,Click the link to see more.
14. 기술과 정보 (Technology & Information),Day 2,Network,"네트워크, 망",The social network connects people.
14. 기술과 정보 (Technology & Information),Day 2,Connection,연결,The internet connection is very slow.
14. 기술과 정보 (Technology & Information),Day 2,Software,소프트웨어,You need to install the new software.
14. 기술과 정보 (Technology & Information),Day 3,Science,과학,I am interested in space science.
14. 기술과 정보 (Technology & Information),Day 3,Robot,로봇,This robot can clean the floor.
14. 기술과 정보 (Technology & Information),Day 3,Space,"우주, 공간",There is a lot of space in the room.
14. 기술과 정보 (Technology & Information),Day 3,Future,미래,What will the future look like?
14. 기술과 정보 (Technology & Information),Day 3,Tool,도구,A hammer is a useful tool.
14. 기술과 정보 (Technology & Information),Day 3,Machine,기계,The washing machine is broken.
14. 기술과 정보 (Technology & Information),Day 3,Electric,전기의,We bought an electric car.
14. 기술과 정보 (Technology & Information),Day 3,Artificial,인공적인,Artificial intelligence is developing fast.
14. 기술과 정보 (Technology & Information),Day 3,Intelligence,지능,He has a high level of intelligence.
14. 기술과 정보 (Technology & Information),Day 3,Innovation,혁신,The smartphone was a great innovation.
14. 기술과 정보 (Technology & Information),Day 4,Data,"데이터, 자료",We need more data to solve this.
14. 기술과 정보 (Technology & Information),Day 4,System,"시스템, 체계",Our school has a good library system.
14. 기술과 정보 (Technology & Information),Day 4,Power,"힘, 에너지, 전력",Turn off the power before you leave.
14. 기술과 정보 (Technology & Information),Day 4,Speed,속도,The speed of the car was too fast.
14. 기술과 정보 (Technology & Information),Day 4,Simple,"간단한, 단순한",The solution is very simple.
14. 기술과 정보 (Technology & Information),Day 4,Fast,빠른,This is the fastest way to get there.
14. 기술과 정보 (Technology & Information),Day 4,Easy,쉬운,Using this app is very easy.
14. 기술과 정보 (Technology & Information),Day 4,Security,"보안, 안전",Cyber security is very important now.
14. 기술과 정보 (Technology & Information),Day 4,Privacy,"사생활, 프라이버시",We must protect our privacy online.
14. 기술과 정보 (Technology & Information),Day 4,Access,"접속, 접근",I cannot access the website.
14. 기술과 정보 (Technology & Information),Day 5,Idea,"생각, 아이디어",I have a bright idea for the project.
14. 기술과 정보 (Technology & Information),Day 5,Change,"변화, 바꾸다",Technology changes our daily life.
14. 기술과 정보 (Technology & Information),Day 5,Work,"일하다, 작동하다",My watch does not work properly.
14. 기술과 정보 (Technology & Information),Day 5,Help,돕다,The internet helps me study.
14. 기술과 정보 (Technology & Information),Day 5,Share,공유하다,I want to share my photos with you.
14. 기술과 정보 (Technology & Information),Day 5,Create,"창조하다, 만들다",You can create your own music here.
14. 기술과 정보 (Technology & Information),Day 5,Discover,발견하다,Scientists discovered a new planet.
14. 기술과 정보 (Technology & Information),Day 5,Communication,의사소통,Smartphones are essential for communication.
14. 기술과 정보 (Technology & Information),Day 5,Development,"발전, 개발",Economic development is necessary.
14. 기술과 정보 (Technology & Information),Day 5,Knowledge,지식,Reading books gives us knowledge.
14. 기술과 정보 (Technology & Information),Day 6,Set up,"설치하다, 설정하다",I need to set up my new laptop.
14. 기술과 정보 (Technology & Information),Day 6,Log in/on,"접속하다, 로그인하다",Log in to your account first.
14. 기술과 정보 (Technology & Information),Day 6,Back up,"백업하다, 예비 파일을 만들다",Don't forget to back up your data.
14. 기술과 정보 (Technology & Information),Day 6,Shut down,"(컴퓨터 등을) 끄다, 종료하다",Shut down the system after use.
14. 기술과 정보 (Technology & Information),Day 6,Look up,(정보를) 찾아보다,Look up the word in the dictionary.
14. 기술과 정보 (Technology & Information),Day 6,Keep up with,"~을 따라잡다, 뒤지지 않다",It's hard to keep up with new technology.
14. 기술과 정보 (Technology & Information),Day 6,Break down,고장 나다,My computer broke down yesterday.
14. 기술과 정보 (Technology & Information),Day 6,Turn on/off,(전원을) 켜다/끄다,Turn off the lights before leaving.
14. 기술과 정보 (Technology & Information),Day 6,Sign up,"등록하다, 가입하다",You can sign up for the newsletter.
14. 기술과 정보 (Technology & Information),Day 6,Go through,"(데이터 등을) 검토하다, 살피다",Let's go through the information again.
15. 환경과 보존 (Environment & Conservation),Day 1,Earth,지구,We must take care of the Earth.
15. 환경과 보존 (Environment & Conservation),Day 1,Nature,자연,Let's enjoy the beauty of nature.
15. 환경과 보존 (Environment & Conservation),Day 1,Clean,깨끗한,We need clean air and water to live.
15. 환경과 보존 (Environment & Conservation),Day 1,Dirty,더러운,The river became dirty because of trash.
15. 환경과 보존 (Environment & Conservation),Day 1,Trash,쓰레기,Don't throw trash on the street.
15. 환경과 보존 (Environment & Conservation),Day 1,Waste,"낭비하다, 쓰레기",Don't waste water while brushing teeth.
15. 환경과 보존 (Environment & Conservation),Day 1,Protect,보호하다,It's our duty to protect the forest.
15. 환경과 보존 (Environment & Conservation),Day 1,Environment,환경,We should create a better environment.
15. 환경과 보존 (Environment & Conservation),Day 1,Pollution,오염,Air pollution is getting worse.
15. 환경과 보존 (Environment & Conservation),Day 1,Global,"지구 전체의, 세계적인",Global warming is a serious global issue.
15. 환경과 보존 (Environment & Conservation),Day 2,Save,"절약하다, 구하다",Turn off the lights to save energy.
15. 환경과 보존 (Environment & Conservation),Day 2,Reuse,재사용하다,I reuse glass jars to store pens.
15. 환경과 보존 (Environment & Conservation),Day 2,Recycle,재활용하다,We should recycle paper and plastic.
15. 환경과 보존 (Environment & Conservation),Day 2,Reduce,줄이다,We need to reduce the use of plastic bags.
15. 환경과 보존 (Environment & Conservation),Day 2,Pick up,줍다,I pick up trash in the park every Sunday.
15. 환경과 보존 (Environment & Conservation),Day 2,Plant,"심다, 식물",Let's plant more trees for the future.
15. 환경과 보존 (Environment & Conservation),Day 2,Fresh,신선한,I love the fresh air in the mountains.
15. 환경과 보존 (Environment & Conservation),Day 2,Sustainable,지속 가능한,We are looking for sustainable energy.
15. 환경과 보존 (Environment & Conservation),Day 2,Ecosystem,생태계,Pollution can damage the whole ecosystem.
15. 환경과 보존 (Environment & Conservation),Day 2,Awareness,"인식, 의식",We need to raise awareness about nature.
15. 환경과 보존 (Environment & Conservation),Day 3,Paper,종이,Write on both sides of the paper.
15. 환경과 보존 (Environment & Conservation),Day 3,Glass,유리,Be careful with the broken glass.
15. 환경과 보존 (Environment & Conservation),Day 3,Plastic,플라스틱,This bottle is made of plastic.
15. 환경과 보존 (Environment & Conservation),Day 3,Bottle,병,Put the empty bottle in the bin.
15. 환경과 보존 (Environment & Conservation),Day 3,Can,"캔, 양철통",I collected soda cans for recycling.
15. 환경과 보존 (Environment & Conservation),Day 3,Bag,"가방, 봉투",Use a cloth bag instead of a plastic bag.
15. 환경과 보존 (Environment & Conservation),Day 3,Box,상자,Flatten the cardboard box before recycling.
15. 환경과 보존 (Environment & Conservation),Day 3,Resource,자원,Oil is a limited natural resource.
15. 환경과 보존 (Environment & Conservation),Day 3,Conserve,"보존하다, 아끼다",We must conserve our water supply.
15. 환경과 보존 (Environment & Conservation),Day 3,Alternative,"대안, 대체 가능한",Solar power is an alternative energy source.
15. 환경과 보존 (Environment & Conservation),Day 4,Animal,동물,Many wild animals are losing their homes.
15. 환경과 보존 (Environment & Conservation),Day 4,Bird,새,Birds are singing in the clean forest.
15. 환경과 보존 (Environment & Conservation),Day 4,Fish,물고기,The fish died because of the oil spill.
15. 환경과 보존 (Environment & Conservation),Day 4,Sea,바다,Don't throw trash into the sea.
15. 환경과 보존 (Environment & Conservation),Day 4,Tree,나무,Trees help us breathe clean air.
15. 환경과 보존 (Environment & Conservation),Day 4,Flower,꽃,The garden is full of beautiful flowers.
15. 환경과 보존 (Environment & Conservation),Day 4,Life,생명,All life on Earth is connected.
15. 환경과 보존 (Environment & Conservation),Day 4,Species,종(생물),Some species are disappearing forever.
15. 환경과 보존 (Environment & Conservation),Day 4,Extinction,멸종,We must prevent the extinction of tigers.
15. 환경과 보존 (Environment & Conservation),Day 4,Habitat,서식지,This wetland is a natural habitat for birds.
15. 환경과 보존 (Environment & Conservation),Day 5,Warm,따뜻한,The Earth is getting too warm.
15. 환경과 보존 (Environment & Conservation),Day 5,Cold,추운,The North Pole is very cold.
15. 환경과 보존 (Environment & Conservation),Day 5,Ice,얼음,The ice in the Arctic is melting.
15. 환경과 보존 (Environment & Conservation),Day 5,Rain,비,Acid rain can damage the trees.
15. 환경과 보존 (Environment & Conservation),Day 5,Wind,바람,We can get energy from the wind.
15. 환경과 보존 (Environment & Conservation),Day 5,Forest,숲,A large forest fire broke out.
15. 환경과 보존 (Environment & Conservation),Day 5,Change,변화,Climate change is happening right now.
15. 환경과 보존 (Environment & Conservation),Day 5,Impact,"영향, 충격",Human actions have a big impact on nature.
15. 환경과 보존 (Environment & Conservation),Day 5,Disaster,"재난, 재앙",Floods are a natural disaster.
15. 환경과 보존 (Environment & Conservation),Day 5,Solution,해결책,We need to find a solution to pollution.
15. 환경과 보존 (Environment & Conservation),Day 6,Give off,"내뿜다, 방출하다",The factory gives off toxic fumes.
15. 환경과 보존 (Environment & Conservation),Day 6,Run out of,~이 다 떨어지다,We are running out of fossil fuels.
15. 환경과 보존 (Environment & Conservation),Day 6,Dispose of,"~을 처분하다, 없애다",Please dispose of the waste properly.
15. 환경과 보존 (Environment & Conservation),Day 6,Call for,"~을 요구하다, 필요로 하다",The situation calls for urgent action.
15. 환경과 보존 (Environment & Conservation),Day 6,Carry out,"~을 수행하다, 실시하다",They carried out a study on pollution.
15. 환경과 보존 (Environment & Conservation),Day 6,Look after,"~을 돌보다, 보살피다",We must look after our forests.
15. 환경과 보존 (Environment & Conservation),Day 6,Break down,분해되다,Plastic does not break down easily.
